Valores duplicados encontrados:
Valor: , Total: 1561
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:27;i:3;i:31;}, Total: 98
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:27;i:3;i:32;}, Total: 2
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:27;i:3;i:34;}, Total: 25
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:34;i:3;i:16;}, Total: 7
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:34;i:3;i:34;}, Total: 18
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:40;i:3;i:41;}, Total: 3
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:40;i:3;i:42;}, Total: 9
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:484;i:3;i:485;}, Total: 864
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:484;i:3;i:486;}, Total: 908
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:484;i:3;i:487;}, Total: 964
Valor: a:4:{i:0;i:16;i:1;i:20;i:2;i:484;i:3;i:488;}, Total: 551
Valor: a:4:{i:0;i:16;i:1;i:21;i:2;i:16;i:3;i:21;}, Total: 2
Valor: a:4:{i:0;i:16;i:1;i:21;i:2;i:16;i:3;i:25;}, Total: 14
Valor: a:4:{i:0;i:16;i:1;i:21;i:2;i:22;i:3;i:27;}, Total: 2
Valor: a:4:{i:0;i:16;i:1;i:21;i:2;i:22;i:3;i:34;}, Total: 9
Valor: a:4:{i:0;i:16;i:1;i:21;i:2;i:27;i:3;i:16;}, Total: 2
